t_step,Fake_error_A,Real_error_A,Fake_error_B,Real_error_B,Fake_diff,Real_diff,Gap_Ratio
50,0.49746525168418887,0.5786011379957199,0.07014037571847438,0.07998019970953464,0.42732487596571445,0.49862093828618526,0.8570134992274157
100,0.43354485332965853,0.5134467262029648,0.052540108263492584,0.05921814873814583,0.38100474506616594,0.45422857746481893,0.8387951862339187
150,0.3922099792957306,0.46745520234107973,0.04302647829055786,0.04856912352144718,0.3491835010051727,0.4188860788196325,0.8336001548572037
200,0.36056454926729203,0.4288013160228729,0.037167261205613616,0.04112608291208744,0.3233972880616784,0.3876752331107855,0.834196408763273
250,0.33358801871538163,0.3948212826251984,0.03297642365098,0.03634039845317602,0.3006115950644016,0.35848088417202234,0.838570778802191
300,0.30779233694076535,0.362632452249527,0.02996689274907112,0.032300351597368715,0.27782544419169425,0.33033210065215823,0.8410488802091847
350,0.2851109579205513,0.3320497524738312,0.026859704703092575,0.02931453809142113,0.25825125321745873,0.30273521438241,0.8530598361054232
400,0.2617228129506111,0.3020385730266571,0.025076674409210683,0.027597725950181486,0.23664613854140043,0.27444084707647565,0.8622846788297952
450,0.23928288549184798,0.2729579508304596,0.02298456136137247,0.02528459459543228,0.21629832413047553,0.24767335623502731,0.8733209197193595
500,0.21728730231523513,0.24536022424697876,0.021744635198265316,0.02296778205782175,0.19554266711696983,0.22239244218915702,0.879268487331874
